Time,sensPitch,sensRoll,sensYaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,altitude
7966,-0.94,2.62,-0.06,0.12,-0.12,0.12,0.00,0.03,-0.23,0.00,0.00,0.52
7976,-0.94,2.62,-0.06,0.12,0.00,0.06,0.00,0.03,-0.25,0.00,0.00,0.52
7984,-0.94,2.62,-0.06,0.00,0.06,0.12,0.00,0.01,-0.20,0.00,0.00,0.53
7994,-0.94,2.62,-0.06,0.00,0.12,0.00,0.00,0.01,-0.20,0.00,0.00,0.54
8004,-0.94,2.62,-0.06,0.06,0.00,0.06,0.00,0.01,-0.24,0.00,0.00,0.54
8014,-0.94,2.62,-0.06,0.00,0.25,0.00,-0.01,0.00,-0.25,0.00,0.00,0.53
8024,-0.94,2.62,-0.06,0.00,0.06,0.06,0.00,0.01,-0.27,0.00,0.00,0.53
8032,-0.94,2.62,-0.06,0.06,0.00,0.06,0.00,0.01,-0.24,0.00,0.00,0.54
8043,-0.94,2.62,-0.06,0.00,0.25,-0.06,0.00,0.03,-0.22,0.00,0.00,0.53
8054,-0.94,2.62,-0.06,-0.06,0.12,0.12,0.00,0.03,-0.23,0.00,0.00,0.53
8087,-0.94,2.62,-0.06,0.06,0.00,0.00,-0.01,0.03,-0.25,0.00,0.00,0.53
8095,-0.94,2.62,-0.06,-0.12,-0.38,0.06,0.00,0.01,-0.25,0.00,0.00,0.52
8105,-0.94,2.62,-0.06,-0.12,-0.38,0.06,0.00,0.02,-0.24,0.00,0.00,0.53
8115,-0.94,2.62,-0.06,0.25,-0.06,0.06,0.00,0.02,-0.27,0.00,0.00,0.53
8125,-0.94,2.62,-0.06,0.06,-0.12,0.06,0.01,0.01,-0.23,0.00,0.00,0.52
8134,-0.94,2.62,-0.06,0.06,0.00,0.12,0.01,0.01,-0.23,0.00,0.00,0.52
8144,-0.94,2.62,-0.06,-0.06,0.31,0.00,0.00,0.03,-0.24,0.00,0.00,0.54
8154,-0.94,2.62,-0.06,-0.12,0.12,0.06,0.00,0.04,-0.26,0.00,0.00,0.52
8164,-0.94,2.62,-0.06,-0.12,-0.25,-0.12,0.00,0.01,-0.24,0.00,0.00,0.53
8174,-0.94,2.62,-0.06,-0.06,-0.06,0.00,0.00,0.00,-0.25,0.00,0.00,0.54
8183,-0.94,2.62,-0.06,0.06,0.12,0.06,0.00,0.01,-0.25,0.00,0.00,0.51
8194,-0.94,2.62,-0.06,0.12,-0.25,0.12,0.00,0.01,-0.22,0.00,0.00,0.53
